Gutter	Multiplikator					10 år	11 år	12 år	13 år	14 år	15 år	16 år	17 år	18 år	19 år
	Under 80%			0,4	Poeng					816	792				
Spyd	Over 1000p			0,1	1000p	25	32	38	45						
400 g	1000p-80%			0,2	80%	20	25.6	30.4	36						
	Under 80%			0,4	Poeng	900	872	848	820						
Liten ball	Over 1000p			0,08	1000p	48	55	63	70	80					
150 g	1000p-80%			0,15	80%	38.4	44	50.4	56	64					
	Under 80%			0,3	Poeng	856	835	811	790	760					
Slengball	Over 1000p			0,08	1000p	24	30	36							
1 kg	1000p-80%			0,15	80%	19.2	24	28.8							
Kort reim	Under 80%			0,3	Poeng	928	910	892							
